,entry,country,area,date,number,position,year,month,day
0,0,桃園市,龍潭區,1993/5/1,0.0,桃園市龍潭區,1993,5,1
1,1,桃園市,龍潭區,1995/5/1,0.0,桃園市龍潭區,1995,5,1
2,2,嘉義縣,民雄鄉,1990/7/24,0.0,嘉義縣民雄鄉,1990,7,24
3,3,嘉義縣,民雄鄉,1991/2/26,0.0,嘉義縣民雄鄉,1991,2,26
4,4,桃園市,龍潭區,1991/3/16,0.0,桃園市龍潭區,1991,3,16
5,5,嘉義縣,民雄鄉,1991/3/25,0.0,嘉義縣民雄鄉,1991,3,25
6,6,桃園市,龍潭區,1991/4/2,0.0,桃園市龍潭區,1991,4,2
7,7,桃園市,龍潭區,1991/4/17,0.2,桃園市龍潭區,1991,4,17
8,8,嘉義縣,民雄鄉,1991/4/24,4.7,嘉義縣民雄鄉,1991,4,24
9,9,台東縣,鹿野鄉,1996/5/1,23.0,台東縣鹿野鄉,1996,5,1
10,10,台東縣,池上鄉,1996/5/1,22.0,台東縣池上鄉,1996,5,1
11,11,台東縣,關山鎮,1996/5/1,18.0,台東縣關山鎮,1996,5,1
12,12,桃園市,龍潭區,1996/5/1,0.0,桃園市龍潭區,1996,5,1
13,13,桃園市,龍潭區,1991/6/15,0.0,桃園市龍潭區,1991,6,15
14,14,桃園市,龍潭區,1991/7/1,0.0,桃園市龍潭區,1991,7,1
15,15,桃園市,龍潭區,1991/7/16,0.0,桃園市龍潭區,1991,7,16
16,16,嘉義縣,民雄鄉,1991/7/26,0.0,嘉義縣民雄鄉,1991,7,26
17,17,桃園市,龍潭區,1991/8/1,0.0,桃園市龍潭區,1991,8,1
18,18,桃園市,龍潭區,1991/8/16,0.0,桃園市龍潭區,1991,8,16
19,19,嘉義縣,民雄鄉,1991/8/28,0.0,嘉義縣民雄鄉,1991,8,28
20,20,桃園市,龍潭區,1991/9/4,0.0,桃園市龍潭區,1991,9,4
21,21,桃園市,龍潭區,1991/9/16,0.0,桃園市龍潭區,1991,9,16
22,22,桃園市,龍潭區,1991/10/1,0.0,桃園市龍潭區,1991,10,1
23,23,桃園市,龍潭區,1991/10/16,0.0,桃園市龍潭區,1991,10,16
24,24,嘉義縣,民雄鄉,1991/10/30,0.0,嘉義縣民雄鄉,1991,10,30
25,25,桃園市,龍潭區,1991/11/4,0.0,桃園市龍潭區,1991,11,4
26,26,桃園市,龍潭區,1991/11/19,0.0,桃園市龍潭區,1991,11,19
27,27,桃園市,龍潭區,1991/12/1,0.0,桃園市龍潭區,1991,12,1
28,28,桃園市,龍潭區,1991/12/20,0.0,桃園市龍潭區,1991,12,20
29,29,桃園市,龍潭區,1992/1/15,0.0,桃園市龍潭區,1992,1,15
30,30,桃園市,龍潭區,1992/1/31,0.0,桃園市龍潭區,1992,1,31
31,31,桃園市,龍潭區,1992/2/12,0.0,桃園市龍潭區,1992,2,12
32,32,桃園市,龍潭區,1992/2/16,0.0,桃園市龍潭區,1992,2,16
33,33,桃園市,龍潭區,1992/3/1,0.0,桃園市龍潭區,1992,3,1
34,34,屏東縣,萬丹鄉,1992/3/3,0.0,屏東縣萬丹鄉,1992,3,3
35,35,台東縣,鹿野鄉,1992/3/7,0.0,台東縣鹿野鄉,1992,3,7
36,36,台東縣,關山鎮,1992/3/7,0.0,台東縣關山鎮,1992,3,7
37,37,台東縣,池上鄉,1992/3/7,0.0,台東縣池上鄉,1992,3,7
38,38,南投縣,名間鄉,1992/3/11,0.0,南投縣名間鄉,1992,3,11
39,39,台東縣,鹿野鄉,1992/3/13,0.0,台東縣鹿野鄉,1992,3,13
40,40,台東縣,關山鎮,1992/3/13,0.0,台東縣關山鎮,1992,3,13
41,41,台東縣,池上鄉,1992/3/13,0.0,台東縣池上鄉,1992,3,13
42,42,桃園市,龍潭區,1992/3/16,0.0,桃園市龍潭區,1992,3,16
43,43,南投縣,名間鄉,1992/3/24,0.02,南投縣名間鄉,1992,3,24
44,44,花蓮縣,玉里鎮,1992/3/25,0.18,花蓮縣玉里鎮,1992,3,25
45,45,花蓮縣,富里鄉,1992/3/25,0.17,花蓮縣富里鄉,1992,3,25
46,46,屏東縣,萬丹鄉,1992/3/26,3.0,屏東縣萬丹鄉,1992,3,26
47,47,台東縣,鹿野鄉,1992/3/27,6.7,台東縣鹿野鄉,1992,3,27
48,48,台東縣,池上鄉,1992/3/27,5.0,台東縣池上鄉,1992,3,27
49,49,台東縣,關山鎮,1992/3/27,2.0,台東縣關山鎮,1992,3,27
50,50,嘉義縣,民雄鄉,1992/3/28,1.2,嘉義縣民雄鄉,1992,3,28
51,51,花蓮縣,玉里鎮,1992/4/3,1.51,花蓮縣玉里鎮,1992,4,3
52,52,花蓮縣,富里鄉,1992/4/3,1.05,花蓮縣富里鄉,1992,4,3
53,53,桃園市,龍潭區,1992/4/9,0.0,桃園市龍潭區,1992,4,9
54,54,台東縣,鹿野鄉,1992/4/10,6.7,台東縣鹿野鄉,1992,4,10
